id,label,SampleID,CenterID,ContributorID,Tasks,DataLocation,CenterName,InstrumentID,ModelName,DependencyID,ModelLicense,TaskName,TaskID,ModelID,DataID,F1_Score,Output,SampleName,Username,TestID,InstrumentName,label_clean
631906dfe089cc199098548a,Datacard,631906cf256888ddf0082d81,631906cc256888ddf0082cfa,631906ccffd587a310ae84fa,631906e0c6dba1abbb83b8e6,../content/data/xrdml/University of St Andrews/Metal Fluorides_Apollo/Apollo Week 1.XRDML,University of St Andrews,,,,,,,,,,,,,,,Datacard
631906dfe089cc199098548b,Datacard,631906cf256888ddf0082d81,631906cc256888ddf0082cfa,631906ccffd587a310ae84fa,631906e0c6dba1abbb83b8e6,../content/data/xrdml/University of St Andrews/Metal Fluorides_Apollo/Apollo Week 3.XRDML,University of St Andrews,,,,,,,,,,,,,,,Datacard
631906dfe089cc199098548c,Datacard,631906cf256888ddf0082d96,631906cc256888ddf0082cfa,631906ccffd587a310ae84fa,631906e0c6dba1abbb83b8e6,../content/data/xrdml/University of St Andrews/CuF2 dihydrate/pgb3_1.XRDML,University of St Andrews,,,,,,,,,,,,,,,Datacard
631906dfe089cc199098548d,Datacard,631906cf256888ddf0082d9c,631906cc256888ddf0082cfa,631906ccffd587a310ae84fa,631906e0c6dba1abbb83b8e6,../content/data/xrdml/University of St Andrews/Metal Fluorides_FC/FC Week 1.XRDML,University of St Andrews,,,,,,,,,,,,,,,Datacard
631906dfe089cc199098548e,Datacard,631906cf256888ddf0082d9c,631906cc256888ddf0082cfa,631906ccffd587a310ae84fa,631906e0c6dba1abbb83b8e6,../content/data/xrdml/University of St Andrews/Metal Fluorides_FC/FC Week 3.XRDML,University of St Andrews,,,,,,,,,,,,,,,Datacard
631906dfe089cc199098548f,Datacard,631906cf256888ddf0082d9c,631906cc256888ddf0082cfa,631906ccffd587a310ae84fa,631906e0c6dba1abbb83b8e6,../content/data/xrdml/University of St Andrews/Metal Fluorides_FC/FC Week 2.XRDML,University of St Andrews,,,,,,,,,,,,,,,Datacard
631906dfe089cc1990985490,Datacard,631906cf256888ddf0082d9c,631906cc256888ddf0082cfa,631906ccffd587a310ae84fa,631906e0c6dba1abbb83b8e6,../content/data/xrdml/University of St Andrews/Metal Fluorides_FC/FC Week 4.XRDML,University of St Andrews,,,,,,,,,,,,,,,Datacard
631906dfe089cc1990985491,Datacard,631906cf256888ddf0082db1,631906cc256888ddf0082cfa,631906ccffd587a310ae84fa,631906e0c6dba1abbb83b8e6,../content/data/xrdml/University of St Andrews/Metal Fluorides_Alfa/Alfa Week 4.XRDML,University of St Andrews,,,,,,,,,,,,,,,Datacard
631906dfe089cc1990985492,Datacard,631906cf256888ddf0082db1,631906cc256888ddf0082cfa,631906ccffd587a310ae84fa,631906e0c6dba1abbb83b8e6,../content/data/xrdml/University of St Andrews/Metal Fluorides_Alfa/Alfa Week 2.XRDML,University of St Andrews,,,,,,,,,,,,,,,Datacard
631906dfe089cc1990985493,Datacard,631906cf256888ddf0082db1,631906cc256888ddf0082cfa,631906ccffd587a310ae84fa,631906e0c6dba1abbb83b8e6,../content/data/xrdml/University of St Andrews/Metal Fluorides_Alfa/Alfa Week 1.XRDML,University of St Andrews,,,,,,,,,,,,,,,Datacard
631906dfe089cc1990985494,Datacard,631906cf256888ddf0082db1,631906cc256888ddf0082cfa,631906ccffd587a310ae84fa,631906e0c6dba1abbb83b8e6,../content/data/xrdml/University of St Andrews/Metal Fluorides_Alfa/Alfa Week 3.XRDML,University of St Andrews,,,,,,,,,,,,,,,Datacard
631906dfe089cc1990985495,Datacard,631906cf256888ddf0082dc6,631906c9256888ddf0082cbe,631906c9fe787bebbddc3862,631906e0c6dba1abbb83b8e6,../content/data/xrdml/King Fahd University of Petroleum and Minerals/Ca/Carbonates_435.xrdml,King Fahd University of Petroleum and Minerals,,,,,,,,,,,,,,,Datacard
631906dfe089cc1990985496,Datacard,631906cf256888ddf0082dc6,631906c9256888ddf0082cbe,631906c9fe787bebbddc3862,631906e0c6dba1abbb83b8e6,../content/data/xrdml/King Fahd University of Petroleum and Minerals/Ca/Carbonates_470.xrdml,King Fahd University of Petroleum and Minerals,,,,,,,,,,,,,,,Datacard
631906dfe089cc1990985497,Datacard,631906cf256888ddf0082dc6,631906c9256888ddf0082cbe,631906c9fe787bebbddc3862,631906e0c6dba1abbb83b8e6,../content/data/xrdml/King Fahd University of Petroleum and Minerals/Ca/Carbonates_318.xrdml,King Fahd University of Petroleum and Minerals,,,,,,,,,,,,,,,Datacard
